,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
94716,0.20218,0.21214,0.15266,0.33593,0.95708,0.97009,0.95354,0.98572,0.55826,0.00665,0.689,0.27473,75.18,1.0,0.0,0.0
76513,0.34661,0.44909,0.42649,0.83657,0.8884,0.92376,0.88033,0.96203,0.23855,0.00146,0.66629,0.31846,83.02,1.0,0.0,0.0
119266,0.56867,0.5531,0.54065,0.61581,0.77523,0.82804,0.73547,0.86008,0.41414,0.04458,0.08677,0.10679,69.4,0.0,0.0,1.0
197402,0.39837,0.45068,0.37066,0.54476,0.97847,0.99919,0.93907,1.01441,0.3553,0.00503,0.18255,0.15242,46.89,0.0,0.0,1.0
26646,0.31002,0.33938,0.24864,0.46187,0.79014,0.79387,0.77988,0.7979,0.5031,0.01352,0.62588,0.3006,69.68,0.0,0.0,1.0
135141,0.82437,0.85892,0.80754,0.92211,0.93613,0.94467,0.90134,0.94535,0.7549,0.26303,0.11988,0.14627,52.57,0.0,0.0,1.0
120265,0.64155,0.57342,0.61486,0.65432,0.78719,0.78777,0.78357,0.78723,0.70432,0.26057,0.14786,0.17302,76.81,0.0,0.0,1.0
107572,0.752,0.71264,0.75619,0.76397,0.77651,0.77519,0.74929,0.76409,0.50997,0.04941,0.07667,0.09619,40.1,0.0,0.0,1.0
148425,0.36937,0.51078,0.31292,0.68081,0.86675,0.88754,0.83559,0.90408,0.23875,0.00054,0.24975,0.17962,69.23,0.0,1.0,0.0
18791,0.35749,0.51441,0.28703,0.61662,0.98399,1.03957,0.92166,1.07217,0.10219,0.00034,0.67822,0.26388,31.32,0.0,1.0,0.0
46444,0.40701,0.31317,0.31754,0.25731,0.28843,0.32411,0.2527,0.33787,0.00973,0.00101,0.33289,0.1858,83.04,0.0,0.0,1.0
108499,0.7257,0.66527,0.70472,0.72497,0.73066,0.73154,0.73105,0.73154,0.69984,0.27436,0.12866,0.15457,69.42,0.0,0.0,1.0
189321,0.76312,0.74347,0.79611,0.85233,0.88481,0.92782,0.83257,0.95147,0.50986,0.02917,0.06581,0.08317,49.88,0.0,0.0,1.0
42061,0.80447,0.77841,0.80786,0.86687,0.98316,1.00042,0.95371,1.0115,0.71238,0.26105,0.65044,0.51972,45.49,0.0,0.0,1.0
80207,0.35803,0.45093,0.34478,0.68726,0.97037,0.97938,0.96587,0.99062,0.62882,0.01696,0.93167,0.64482,70.85,1.0,0.0,0.0
184722,0.53437,0.51254,0.50458,0.51391,0.84699,0.89388,0.79663,0.92229,0.08366,0.00034,0.68127,0.42897,57.56,0.0,0.0,1.0
95836,0.27641,0.21142,0.26298,0.2564,0.33201,0.42385,0.37581,0.55468,0.01478,0.00146,0.8031,0.49129,84.74,1.0,0.0,0.0
59220,0.99872,0.93955,0.97394,0.9901,0.99673,0.99881,0.99452,1.00133,0.84844,0.23833,0.96905,0.9612,37.83,1.0,0.0,0.0
123035,0.76973,0.73159,0.7491,0.7877,0.95351,0.95431,0.91777,0.94879,0.591,0.04787,0.07463,0.09351,50.62,0.0,0.0,1.0
26660,1.08416,1.02598,1.05986,0.98618,1.03464,1.08664,0.97466,1.11648,0.13883,0.00031,0.45665,0.37691,32.17,0.0,0.0,1.0
12302,0.53567,0.48062,0.50054,0.53083,0.71019,0.72861,0.68743,0.73904,0.43687,0.13284,0.3804,0.24898,72.39,0.0,0.0,1.0
5145,0.45192,0.47421,0.42499,0.53684,0.77557,0.85922,0.71314,0.9122,0.24182,0.02778,0.659,0.34063,58.14,0.0,0.0,1.0
22232,0.7561,0.70605,0.73689,0.73653,0.7536,0.76718,0.74162,0.77773,0.38582,0.00648,0.64947,0.54595,60.23,0.0,0.0,1.0
5981,0.38176,0.41709,0.34764,0.47947,0.84765,0.92161,0.77838,0.96828,0.27038,0.1289,0.6936,0.30591,50.66,0.0,0.0,1.0
175678,0.87203,0.81328,0.85441,0.86853,0.87583,0.88072,0.86433,0.88172,0.82056,0.38293,0.17402,0.20514,63.5,0.0,0.0,1.0
48170,0.49956,0.49851,0.47406,0.54718,1.03692,1.07972,0.96835,1.10787,0.27281,0.01167,0.54034,0.33292,31.18,0.0,0.0,1.0
179361,0.66103,0.62692,0.74607,0.71464,0.76582,0.83383,0.71984,0.87396,0.31195,0.03362,0.13271,0.15339,68.69,0.0,0.0,1.0
45260,1.05728,0.99557,1.0466,1.03902,1.06152,1.07771,1.02861,1.08933,0.46475,0.01541,0.53344,0.40442,37.91,0.0,0.0,1.0
172456,0.90366,0.86366,0.88842,0.90818,0.94222,0.95532,0.90952,0.9552,0.76466,0.10978,0.08768,0.10719,32.08,0.0,0.0,1.0
42581,0.76132,0.76073,0.77202,0.86717,1.04023,1.05979,1.00094,1.07297,0.57223,0.04661,0.74914,0.59722,39.84,0.0,0.0,1.0
51666,0.37021,0.40637,0.34216,0.48506,0.92396,0.96993,0.87089,0.99603,0.1085,0.00033,0.93931,0.55365,31.35,1.0,0.0,0.0
21709,0.4249,0.45291,0.71337,0.81803,0.8487,0.85471,0.83618,0.86101,0.48946,0.00716,0.71246,0.56514,63.74,0.0,0.0,1.0
100203,0.40663,0.43875,0.38067,0.48632,0.88278,0.97271,0.80099,1.02841,0.27084,0.04212,0.08999,0.09095,35.17,0.0,0.0,1.0
105823,0.86353,0.82019,0.84346,0.85116,0.89519,0.91643,0.85881,0.92404,0.66764,0.06564,0.05432,0.06971,37.78,0.0,0.0,1.0
181789,0.393,0.37432,0.432,0.39334,0.45051,0.52402,0.47162,0.6278,0.08185,0.00396,0.29444,0.25805,65.16,0.0,0.0,1.0
29781,1.02171,0.96461,0.99087,0.85856,0.93011,1.0189,0.85358,1.07078,0.15285,0.00081,0.69338,0.40318,41.83,0.0,0.0,1.0
102289,0.55571,0.49701,0.51998,0.57177,0.75823,0.77131,0.72884,0.77906,0.25586,0.00076,0.08299,0.09505,76.96,0.0,0.0,1.0
190118,0.84822,0.82352,0.89214,0.89948,0.93726,1.00529,0.92507,1.0244,0.57666,0.05099,0.18131,0.1908,35.31,0.0,0.0,1.0
89071,0.38952,0.54813,0.36788,0.71921,0.93485,0.97455,0.88504,0.99756,0.13887,0.00036,0.74372,0.3653,32.62,1.0,0.0,0.0
101755,0.62294,0.61303,0.68996,0.72483,0.76864,0.82833,0.8599,0.96253,0.58518,0.1403,0.10515,0.12875,42.69,0.0,0.0,1.0
