,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
112694,0.46863,0.49211,0.44884,0.61574,0.97153,0.9798,0.95318,0.98667,0.52295,0.00487,0.11263,0.13343,54.43,0.0,0.0,1.0
144883,0.55506,0.4688,0.52413,0.55802,0.56771,0.56564,0.56467,0.56496,0.55274,0.30375,0.15964,0.1826,82.07,0.0,0.0,1.0
117258,0.86143,0.80485,0.84103,0.85316,0.86192,0.86635,0.85021,0.85775,0.80722,0.24509,0.09571,0.11898,58.64,0.0,0.0,1.0
8637,0.64583,0.72948,0.60952,0.85022,1.03786,1.04471,1.02502,1.05116,0.64723,0.0092,0.49614,0.39567,43.82,0.0,1.0,0.0
153183,0.81512,0.76335,0.79629,0.81246,0.85129,0.86656,0.82451,0.8708,0.63935,0.10158,0.08999,0.11178,61.59,0.0,0.0,1.0
57272,0.30035,0.4115,0.22531,0.6752,0.92137,0.94327,0.9243,0.97025,0.44787,0.00239,0.82781,0.41342,81.57,1.0,0.0,0.0
19057,0.70336,0.68923,0.7025,0.77721,1.03861,1.04642,1.01712,1.05167,0.63164,0.08803,0.7315,0.53726,48.54,0.0,0.0,1.0
97714,0.19635,0.33863,0.15944,0.45718,0.95136,0.98001,0.91563,0.99726,0.25312,0.00039,0.67076,0.28636,44.72,1.0,0.0,0.0
134653,0.62866,0.62297,0.76794,0.83443,0.89797,0.96135,0.97086,0.97682,0.82299,0.21381,0.11028,0.13417,52.53,0.0,0.0,1.0
33914,0.35895,0.48565,0.31082,0.59089,1.00035,1.06028,0.93811,1.09327,0.08509,0.00032,0.77011,0.32683,43.07,0.0,0.0,1.0
137006,0.62857,0.59794,0.68736,0.70671,0.75231,0.81316,0.77189,0.86328,0.56435,0.226,0.12867,0.15577,70.09,0.0,0.0,1.0
71374,0.21993,0.29105,0.18612,0.38963,0.92947,0.97012,0.88107,0.99492,0.13564,0.00027,0.77636,0.32413,45.63,1.0,0.0,0.0
6610,0.75719,0.74352,0.75096,0.78335,1.04736,1.09519,0.98597,1.12019,0.3784,0.01973,0.58604,0.37745,35.79,0.0,0.0,1.0
103656,0.6533,0.62223,0.72961,0.76471,0.80449,0.83178,0.81,0.8366,0.50983,0.04761,0.10409,0.12654,64.45,0.0,0.0,1.0
163012,0.75603,0.71187,0.74983,0.77532,0.91955,0.93108,0.89894,0.93829,0.64955,0.15811,0.66915,0.56546,55.23,0.0,0.0,1.0
158097,0.73342,0.71457,0.72382,0.78446,0.96513,0.977,0.94009,0.98559,0.66566,0.26125,0.22592,0.25432,54.05,0.0,0.0,1.0
40970,0.39873,0.34143,0.35316,0.34123,0.35647,0.37156,0.34397,0.37924,0.08966,0.00049,0.31319,0.21004,75.5,0.0,0.0,1.0
90665,0.25541,0.47175,0.20897,0.66907,0.99387,0.99736,0.98685,1.00096,0.74795,0.08716,0.89264,0.45727,36.7,1.0,0.0,0.0
100956,0.8263,0.78683,0.80888,0.83241,0.99536,0.9921,0.96908,0.98377,0.83954,0.31337,0.11549,0.14194,40.74,0.0,0.0,1.0
27399,0.46831,0.40991,0.41335,0.54132,0.56504,0.58251,0.5401,0.59223,0.20058,0.00246,0.31821,0.20752,81.14,0.0,0.0,1.0
30009,0.29598,0.32848,0.2469,0.43058,0.83722,0.85276,0.81017,0.86544,0.29213,0.0007,0.72929,0.33551,64.49,0.0,0.0,1.0
40440,0.99649,0.93724,0.984,0.98325,1.00329,1.01606,0.97844,1.02771,0.46896,0.00803,0.06134,0.08847,41.38,0.0,0.0,1.0
9164,0.34672,0.34947,0.31891,0.40623,0.85802,0.92135,0.89147,0.92977,0.44402,0.00653,0.54221,0.3153,56.97,0.0,0.0,1.0
8344,0.59505,0.6712,0.59055,0.90119,1.085,1.11679,1.02211,1.13686,0.5065,0.20453,0.79553,0.45238,32.04,0.0,0.0,1.0
174822,0.68189,0.6366,0.66014,0.69473,0.7904,0.8269,0.75525,0.84983,0.42985,0.01666,0.09428,0.1146,70.0,0.0,0.0,1.0
81140,0.95331,0.88364,0.91027,0.78888,0.86137,0.94064,0.79576,0.98472,0.02697,0.00028,0.48075,0.48422,56.69,1.0,0.0,0.0
38216,0.28889,0.34205,0.26463,0.52054,0.91918,0.9231,0.91685,0.92851,0.70888,0.08268,0.59189,0.33089,58.52,0.0,0.0,1.0
82657,0.21031,0.23724,0.22168,0.40263,0.99129,0.99886,0.99219,1.00151,0.80506,0.14604,0.84581,0.53657,32.14,1.0,0.0,0.0
52079,0.27268,0.29766,0.24042,0.43308,0.97056,0.97885,0.97559,0.9896,0.76192,0.09322,0.92741,0.68966,72.59,1.0,0.0,0.0
23674,0.83138,0.80129,0.83235,0.85445,0.94207,0.98504,0.90257,1.01644,0.4149,0.00248,0.73231,0.58671,46.01,0.0,0.0,1.0
120467,0.50498,0.57727,0.464,0.64039,0.85665,0.95137,0.77905,1.0122,0.32243,0.03881,0.0895,0.10006,39.14,0.0,0.0,1.0
7307,0.66001,0.60451,0.63332,0.66689,0.7778,0.792,0.75544,0.80269,0.42769,0.02197,0.58075,0.48693,68.62,0.0,0.0,1.0
30966,0.25845,0.31082,0.21526,0.44442,0.91555,0.92195,0.90413,0.92858,0.55783,0.01598,0.85038,0.50343,61.33,0.0,1.0,0.0
138858,0.73436,0.71389,0.81639,0.81754,0.85508,0.89486,0.83251,0.90436,0.59692,0.12866,0.11148,0.1333,58.0,0.0,0.0,1.0
131608,0.40007,0.36987,0.3736,0.36309,0.37238,0.38288,0.36092,0.38406,0.21046,0.03237,0.13202,0.14842,50.66,0.0,0.0,1.0
126474,0.82057,0.78751,0.80085,0.82079,0.88483,0.92111,0.8419,0.94324,0.56181,0.04241,0.06861,0.08682,43.89,0.0,0.0,1.0
93275,0.33082,0.28209,0.26227,0.46076,0.88973,0.92045,0.89299,0.95818,0.31804,0.00273,0.86668,0.45447,84.26,1.0,0.0,0.0
32019,0.2145,0.25882,0.19658,0.35187,0.97953,1.07668,1.00198,1.09838,0.26113,0.00037,0.48361,0.23543,33.08,0.0,0.0,1.0
112909,0.96941,0.90269,0.95482,0.94707,0.96991,0.98431,0.93344,0.99591,0.51359,0.11138,0.13204,0.17623,51.87,0.0,0.0,1.0
176607,0.71006,0.69002,0.69518,0.75186,1.01928,1.02807,0.97881,1.03083,0.71025,0.19474,0.07197,0.09024,32.08,0.0,0.0,1.0
93322,0.26608,0.4234,0.21982,0.53486,0.80956,0.91522,0.743,0.97246,0.01186,0.00057,0.71007,0.21466,72.37,1.0,0.0,0.0
