,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle
127590,0.81672,0.76814,0.80132,0.81745,0.82657,0.82932,0.82399,0.83011,0.77879,0.33178,0.15965,0.1867,57.73
183830,0.82692,0.78822,0.81407,0.82131,0.84567,0.86085,0.83812,0.87404,0.72554,0.2518,0.12566,0.15166,34.96
131970,0.40114,0.37598,0.38339,0.39073,0.42142,0.43583,0.42095,0.44909,0.22913,0.00599,0.07909,0.09618,45.78
14089,0.55202,0.4885,0.52149,0.53915,0.55606,0.56476,0.55518,0.5738,0.33699,0.01722,0.44881,0.34725,72.48
56469,0.25985,0.20143,0.21261,0.21136,0.32631,0.40099,0.33082,0.45281,0.01193,0.00106,0.40393,0.21646,83.75
92682,0.25046,0.27543,0.31615,0.372,0.57702,0.64736,0.65135,0.68608,0.36483,0.00235,0.62961,0.50139,46.72
36186,0.76323,0.71559,0.74619,0.72598,0.76793,0.80332,0.74166,0.82385,0.21851,0.00049,0.59933,0.46823,56.56
36332,0.32515,0.3772,0.42331,0.51269,0.70811,0.78344,0.73161,0.84217,0.11451,0.00041,0.70551,0.47372,61.75
114361,0.33958,0.35806,0.40118,0.45443,0.54339,0.58669,0.58861,0.62364,0.33709,0.01816,0.2608,0.25185,67.2
196107,0.61085,0.56834,0.59113,0.58867,0.62636,0.6522,0.61225,0.67119,0.3393,0.01827,0.07933,0.09877,62.86
60939,0.27236,0.2345,0.24308,0.2502,0.49467,0.64454,0.49627,0.74087,0.00779,0.00082,0.65359,0.27426,82.87
141254,0.53154,0.46838,0.50572,0.52417,0.57364,0.59895,0.56607,0.61524,0.25672,0.00189,0.09154,0.1083,78.46
66644,0.26056,0.29424,0.32268,0.3769,0.65899,0.75504,0.66707,0.78959,0.04988,0.00041,0.65213,0.42358,56.52
152402,0.61452,0.56542,0.59708,0.62172,0.65056,0.65872,0.66209,0.66602,0.63451,0.29176,0.14192,0.16923,68.82
36885,0.47712,0.36044,0.39197,0.41066,0.50109,0.5332,0.46696,0.54885,0.08643,0.00136,0.34638,0.23447,83.86
56468,0.14169,0.16627,0.16054,0.21923,0.43857,0.5226,0.4884,0.56864,0.06769,0.00028,0.44297,0.27271,37.81
69476,0.15877,0.16039,0.15091,0.21647,0.3436,0.36904,0.36314,0.37879,0.18762,0.00123,0.24044,0.15824,70.82
122413,0.72513,0.66865,0.70651,0.72095,0.73286,0.737,0.72493,0.7383,0.56057,0.05368,0.10098,0.12241,68.23
55159,0.41059,0.51923,0.6205,0.70708,0.85932,0.91582,0.93267,0.9686,0.67582,0.03649,0.9589,0.81695,36.92
131800,0.92926,0.86008,0.90597,0.87197,0.90555,0.93484,0.85917,0.95465,0.33592,0.01026,0.08631,0.11598,59.02
113942,0.67999,0.63405,0.66969,0.68865,0.77391,0.83131,0.78978,0.88165,0.44873,0.02027,0.08398,0.10374,65.21
157597,0.68189,0.65833,0.67785,0.69857,0.76409,0.80773,0.7503,0.82242,0.51904,0.06868,0.07644,0.09643,51.03
72289,0.28255,0.22743,0.29853,0.30279,0.40241,0.48679,0.42502,0.56381,0.01821,0.00118,0.57371,0.3724,84.25
123479,0.2622,0.28335,0.27682,0.41093,0.86031,0.95525,0.95921,0.98825,0.68132,0.02493,0.37598,0.29397,47.61
3517,0.50328,0.43787,0.46449,0.48798,0.53338,0.5688,0.54515,0.59867,0.3657,0.10344,0.34318,0.22067,77.2
80899,0.23928,0.27551,0.29436,0.35324,0.55976,0.61306,0.59551,0.63284,0.24979,0.00046,0.58057,0.45313,31.77
152803,0.58959,0.49192,0.55164,0.5891,0.62062,0.63296,0.6344,0.64265,0.57476,0.19872,0.12796,0.14682,81.7
185061,0.75167,0.68075,0.72611,0.74817,0.7539,0.75297,0.75151,0.75014,0.74362,0.31066,0.12659,0.15181,73.79
178340,0.64215,0.56111,0.60736,0.62477,0.63625,0.64046,0.62734,0.64308,0.42199,0.01737,0.09968,0.11499,78.0
58227,0.17986,0.15209,0.17513,0.1935,0.23822,0.25746,0.24727,0.2701,0.06937,0.0007,0.21721,0.16172,74.98
90130,0.13247,0.14346,0.16916,0.21326,0.26483,0.28639,0.29683,0.31248,0.21611,0.00879,0.32549,0.24955,50.11
57668,0.15928,0.14181,0.13725,0.16915,0.23536,0.25046,0.25104,0.26363,0.14711,0.0016,0.23715,0.18617,70.19
182488,0.81428,0.76325,0.80089,0.80598,0.81375,0.81644,0.79816,0.81457,0.61192,0.04022,0.06125,0.07789,57.7
166513,0.34079,0.28219,0.29771,0.33257,0.42068,0.44763,0.43165,0.4591,0.1755,0.00135,0.3638,0.23362,80.91
